,Course Names,Course Length,Course Descriptions,Chapter Names,Chapter Links
0,Big Data Specialization,6,"Drive better business decisions with an overview of how big data is organized, analyzed, and interpreted. Apply your insights to real-world problems and questions.

*********

Do you need to understand big data and how it will impact your business? This Specialization is for you. You will gain an understanding of what insights big data can provide through hands-on experience with the tools and systems used by big data scientists and engineers. Previous programming experience is not required! You will be guided through the basics of using Hadoop with MapReduce, Spark, Pig and Hive. By following along with provided code, you will experience how one can perform predictive modeling and leverage graph analytics to model problems. This specialization will prepare you to ask the right questions about data, communicate effectively with data scientists, and do basic exploration of large, complex datasets. In the final Capstone Project, developed in partnership with data software company Splunk, youâll apply the skills you learned to do basic analyses of big data.",Introduction to Big Data,https://www.coursera.org/learn/big-data-introduction?specialization=big-data
1,Big Data Specialization,6,"Drive better business decisions with an overview of how big data is organized, analyzed, and interpreted. Apply your insights to real-world problems and questions.

*********

Do you need to understand big data and how it will impact your business? This Specialization is for you. You will gain an understanding of what insights big data can provide through hands-on experience with the tools and systems used by big data scientists and engineers. Previous programming experience is not required! You will be guided through the basics of using Hadoop with MapReduce, Spark, Pig and Hive. By following along with provided code, you will experience how one can perform predictive modeling and leverage graph analytics to model problems. This specialization will prepare you to ask the right questions about data, communicate effectively with data scientists, and do basic exploration of large, complex datasets. In the final Capstone Project, developed in partnership with data software company Splunk, youâll apply the skills you learned to do basic analyses of big data.",Big Data Modeling and Management Systems,https://www.coursera.org/learn/big-data-management?specialization=big-data
2,Big Data Specialization,6,"Drive better business decisions with an overview of how big data is organized, analyzed, and interpreted. Apply your insights to real-world problems and questions.

*********

Do you need to understand big data and how it will impact your business? This Specialization is for you. You will gain an understanding of what insights big data can provide through hands-on experience with the tools and systems used by big data scientists and engineers. Previous programming experience is not required! You will be guided through the basics of using Hadoop with MapReduce, Spark, Pig and Hive. By following along with provided code, you will experience how one can perform predictive modeling and leverage graph analytics to model problems. This specialization will prepare you to ask the right questions about data, communicate effectively with data scientists, and do basic exploration of large, complex datasets. In the final Capstone Project, developed in partnership with data software company Splunk, youâll apply the skills you learned to do basic analyses of big data.",Big Data Integration and Processing,https://www.coursera.org/learn/big-data-integration-processing?specialization=big-data
3,Big Data Specialization,6,"Drive better business decisions with an overview of how big data is organized, analyzed, and interpreted. Apply your insights to real-world problems and questions.

*********

Do you need to understand big data and how it will impact your business? This Specialization is for you. You will gain an understanding of what insights big data can provide through hands-on experience with the tools and systems used by big data scientists and engineers. Previous programming experience is not required! You will be guided through the basics of using Hadoop with MapReduce, Spark, Pig and Hive. By following along with provided code, you will experience how one can perform predictive modeling and leverage graph analytics to model problems. This specialization will prepare you to ask the right questions about data, communicate effectively with data scientists, and do basic exploration of large, complex datasets. In the final Capstone Project, developed in partnership with data software company Splunk, youâll apply the skills you learned to do basic analyses of big data.",Machine Learning With Big Data,https://www.coursera.org/learn/big-data-machine-learning?specialization=big-data
4,Big Data Specialization,6,"Drive better business decisions with an overview of how big data is organized, analyzed, and interpreted. Apply your insights to real-world problems and questions.

*********

Do you need to understand big data and how it will impact your business? This Specialization is for you. You will gain an understanding of what insights big data can provide through hands-on experience with the tools and systems used by big data scientists and engineers. Previous programming experience is not required! You will be guided through the basics of using Hadoop with MapReduce, Spark, Pig and Hive. By following along with provided code, you will experience how one can perform predictive modeling and leverage graph analytics to model problems. This specialization will prepare you to ask the right questions about data, communicate effectively with data scientists, and do basic exploration of large, complex datasets. In the final Capstone Project, developed in partnership with data software company Splunk, youâll apply the skills you learned to do basic analyses of big data.",Graph Analytics for Big Data,https://www.coursera.org/learn/big-data-graph-analytics
5,Big Data Specialization,6,"Drive better business decisions with an overview of how big data is organized, analyzed, and interpreted. Apply your insights to real-world problems and questions.

*********

Do you need to understand big data and how it will impact your business? This Specialization is for you. You will gain an understanding of what insights big data can provide through hands-on experience with the tools and systems used by big data scientists and engineers. Previous programming experience is not required! You will be guided through the basics of using Hadoop with MapReduce, Spark, Pig and Hive. By following along with provided code, you will experience how one can perform predictive modeling and leverage graph analytics to model problems. This specialization will prepare you to ask the right questions about data, communicate effectively with data scientists, and do basic exploration of large, complex datasets. In the final Capstone Project, developed in partnership with data software company Splunk, youâll apply the skills you learned to do basic analyses of big data.",Big Data - Capstone Project,https://www.coursera.org/learn/big-data-project
6,Big Data â IntroducciÃ³n al uso prÃ¡ctico de datos masivos  Specialization,5,"Este programa estÃ¡ pensado como una entrada al mundo de los datos masivos y su tratamiento. El primer curso tiene como objetivo mostrar al estudiante el impacto del Big Data en la sociedad actual, tanto en el mundo de los negocios como en el de la polÃ­tica y administraciones pÃºblicas, los medios de comunicaciÃ³n y/o la investigaciÃ³n cientÃ­fica. A lo largo de los cursos 2, 3 y 4 se estudian la identificaciÃ³n, captura, pre-procesamiento, anÃ¡lisis y visualizaciÃ³n de datos, desde un punto de vista âusuarioâ, y con una orientaciÃ³n prÃ¡ctica. Finalmente, el Capstone Project permite al estudiante aplicar los conocimientos adquiridos a un caso prÃ¡ctico del campo de la astronomÃ­a.

Al finalizar los cursos de esta especializaciÃ³n el estudiante serÃ¡ capaz de:

1. Entender el impacto del tratamiento de datos masivos en la sociedad actual.

2. Entender y explicar la procedencia y caracterÃ­sticas de los datos masivos.

3. Adquirir, preparar, almacenar, analizar, visualizar y manejar grandes conjuntos de datos.

4. Extraer informaciÃ³n de los datos.

5. Trabajar dentro del ecosistema Hadoop.

6. Contestar a una pregunta bien formulada en funciÃ³n de la informaciÃ³n disponible.

Contamos con un conjunto maravilloso de profesores, con una gran experiencia en el tema, provenientes tanto de la universidad como de la empresa.

NecesitarÃ¡s una computadora de 64bits que permita virtualizacion, con un mÃ­nimo de 6G de RAM (8G recomendable) y 20G disponibles en disco.",Big Data: el impacto de los datos masivos en la sociedad actual,https://www.coursera.org/learn/impacto-datos-masivos?specialization=big-data-introduccion
7,Big Data â IntroducciÃ³n al uso prÃ¡ctico de datos masivos  Specialization,5,"Este programa estÃ¡ pensado como una entrada al mundo de los datos masivos y su tratamiento. El primer curso tiene como objetivo mostrar al estudiante el impacto del Big Data en la sociedad actual, tanto en el mundo de los negocios como en el de la polÃ­tica y administraciones pÃºblicas, los medios de comunicaciÃ³n y/o la investigaciÃ³n cientÃ­fica. A lo largo de los cursos 2, 3 y 4 se estudian la identificaciÃ³n, captura, pre-procesamiento, anÃ¡lisis y visualizaciÃ³n de datos, desde un punto de vista âusuarioâ, y con una orientaciÃ³n prÃ¡ctica. Finalmente, el Capstone Project permite al estudiante aplicar los conocimientos adquiridos a un caso prÃ¡ctico del campo de la astronomÃ­a.

Al finalizar los cursos de esta especializaciÃ³n el estudiante serÃ¡ capaz de:

1. Entender el impacto del tratamiento de datos masivos en la sociedad actual.

2. Entender y explicar la procedencia y caracterÃ­sticas de los datos masivos.

3. Adquirir, preparar, almacenar, analizar, visualizar y manejar grandes conjuntos de datos.

4. Extraer informaciÃ³n de los datos.

5. Trabajar dentro del ecosistema Hadoop.

6. Contestar a una pregunta bien formulada en funciÃ³n de la informaciÃ³n disponible.

Contamos con un conjunto maravilloso de profesores, con una gran experiencia en el tema, provenientes tanto de la universidad como de la empresa.

NecesitarÃ¡s una computadora de 64bits que permita virtualizacion, con un mÃ­nimo de 6G de RAM (8G recomendable) y 20G disponibles en disco.",Big Data: adquisición y almacenamiento de datos,https://www.coursera.org/learn/adquisicion-almacenamiento-de-datos?specialization=big-data-introduccion
8,Big Data â IntroducciÃ³n al uso prÃ¡ctico de datos masivos  Specialization,5,"Este programa estÃ¡ pensado como una entrada al mundo de los datos masivos y su tratamiento. El primer curso tiene como objetivo mostrar al estudiante el impacto del Big Data en la sociedad actual, tanto en el mundo de los negocios como en el de la polÃ­tica y administraciones pÃºblicas, los medios de comunicaciÃ³n y/o la investigaciÃ³n cientÃ­fica. A lo largo de los cursos 2, 3 y 4 se estudian la identificaciÃ³n, captura, pre-procesamiento, anÃ¡lisis y visualizaciÃ³n de datos, desde un punto de vista âusuarioâ, y con una orientaciÃ³n prÃ¡ctica. Finalmente, el Capstone Project permite al estudiante aplicar los conocimientos adquiridos a un caso prÃ¡ctico del campo de la astronomÃ­a.

Al finalizar los cursos de esta especializaciÃ³n el estudiante serÃ¡ capaz de:

1. Entender el impacto del tratamiento de datos masivos en la sociedad actual.

2. Entender y explicar la procedencia y caracterÃ­sticas de los datos masivos.

3. Adquirir, preparar, almacenar, analizar, visualizar y manejar grandes conjuntos de datos.

4. Extraer informaciÃ³n de los datos.

5. Trabajar dentro del ecosistema Hadoop.

6. Contestar a una pregunta bien formulada en funciÃ³n de la informaciÃ³n disponible.

Contamos con un conjunto maravilloso de profesores, con una gran experiencia en el tema, provenientes tanto de la universidad como de la empresa.

NecesitarÃ¡s una computadora de 64bits que permita virtualizacion, con un mÃ­nimo de 6G de RAM (8G recomendable) y 20G disponibles en disco.",Big Data: procesamiento y análisis,https://www.coursera.org/learn/big-data-procesamiento-analisis?specialization=big-data-introduccion
9,Big Data â IntroducciÃ³n al uso prÃ¡ctico de datos masivos  Specialization,5,"Este programa estÃ¡ pensado como una entrada al mundo de los datos masivos y su tratamiento. El primer curso tiene como objetivo mostrar al estudiante el impacto del Big Data en la sociedad actual, tanto en el mundo de los negocios como en el de la polÃ­tica y administraciones pÃºblicas, los medios de comunicaciÃ³n y/o la investigaciÃ³n cientÃ­fica. A lo largo de los cursos 2, 3 y 4 se estudian la identificaciÃ³n, captura, pre-procesamiento, anÃ¡lisis y visualizaciÃ³n de datos, desde un punto de vista âusuarioâ, y con una orientaciÃ³n prÃ¡ctica. Finalmente, el Capstone Project permite al estudiante aplicar los conocimientos adquiridos a un caso prÃ¡ctico del campo de la astronomÃ­a.

Al finalizar los cursos de esta especializaciÃ³n el estudiante serÃ¡ capaz de:

1. Entender el impacto del tratamiento de datos masivos en la sociedad actual.

2. Entender y explicar la procedencia y caracterÃ­sticas de los datos masivos.

3. Adquirir, preparar, almacenar, analizar, visualizar y manejar grandes conjuntos de datos.

4. Extraer informaciÃ³n de los datos.

5. Trabajar dentro del ecosistema Hadoop.

6. Contestar a una pregunta bien formulada en funciÃ³n de la informaciÃ³n disponible.

Contamos con un conjunto maravilloso de profesores, con una gran experiencia en el tema, provenientes tanto de la universidad como de la empresa.

NecesitarÃ¡s una computadora de 64bits que permita virtualizacion, con un mÃ­nimo de 6G de RAM (8G recomendable) y 20G disponibles en disco.",Big Data: visualización de datos,https://www.coursera.org/learn/big-data-visualizacion-datos?specialization=big-data-introduccion
