,Course Names,Course Length,Course Descriptions,Chapter Names,Chapter Links
0,Java Programming and Software Engineering Fundamentals Specialization,5,"Take your first step towards a career in software development with this introduction to Javaâone of the most in-demand programming languages and the foundation of the Android operating system. Designed for beginners, this Specialization will teach you core programming concepts and equip you to write programs to solve complex problems. In addition, you will gain the foundational skills a software engineer needs to solve real-world problems, from designing algorithms to testing and debugging your programs.","Programming Foundations with JavaScript, HTML and CSS",https://www.coursera.org/learn/duke-programming-web?specialization=java-programming
1,Java Programming and Software Engineering Fundamentals Specialization,5,"Take your first step towards a career in software development with this introduction to Javaâone of the most in-demand programming languages and the foundation of the Android operating system. Designed for beginners, this Specialization will teach you core programming concepts and equip you to write programs to solve complex problems. In addition, you will gain the foundational skills a software engineer needs to solve real-world problems, from designing algorithms to testing and debugging your programs.",Java Programming: Solving Problems with Software,https://www.coursera.org/learn/java-programming?specialization=java-programming
2,Java Programming and Software Engineering Fundamentals Specialization,5,"Take your first step towards a career in software development with this introduction to Javaâone of the most in-demand programming languages and the foundation of the Android operating system. Designed for beginners, this Specialization will teach you core programming concepts and equip you to write programs to solve complex problems. In addition, you will gain the foundational skills a software engineer needs to solve real-world problems, from designing algorithms to testing and debugging your programs.","Java Programming: Arrays, Lists, and Structured Data",https://www.coursera.org/learn/java-programming-arrays-lists-data?specialization=java-programming
3,Java Programming and Software Engineering Fundamentals Specialization,5,"Take your first step towards a career in software development with this introduction to Javaâone of the most in-demand programming languages and the foundation of the Android operating system. Designed for beginners, this Specialization will teach you core programming concepts and equip you to write programs to solve complex problems. In addition, you will gain the foundational skills a software engineer needs to solve real-world problems, from designing algorithms to testing and debugging your programs.",Java Programming: Principles of Software Design,https://www.coursera.org/learn/java-programming-design-principles?specialization=java-programming
4,Java Programming and Software Engineering Fundamentals Specialization,5,"Take your first step towards a career in software development with this introduction to Javaâone of the most in-demand programming languages and the foundation of the Android operating system. Designed for beginners, this Specialization will teach you core programming concepts and equip you to write programs to solve complex problems. In addition, you will gain the foundational skills a software engineer needs to solve real-world problems, from designing algorithms to testing and debugging your programs.",Java Programming: Build a Recommendation System,https://www.coursera.org/learn/java-programming-recommender
5,Object Oriented Programming in Java Specialization,4,"This Specialization is for aspiring software developers with some programming experience in at least one other programming language (e.g., Python, C, JavaScript, etc.) who want to be able to solve more complex problems through objected-oriented design with Java. In addition to learning Java, you will gain experience with two Java development environments (BlueJ and Eclipse), learn how to program with graphical user interfaces, and learn how to design programs capable of managing large amounts of data. These software engineering skills are broadly applicable across wide array of industries.",Java Programming: Solving Problems with Software,https://www.coursera.org/learn/java-programming
6,Object Oriented Programming in Java Specialization,4,"This Specialization is for aspiring software developers with some programming experience in at least one other programming language (e.g., Python, C, JavaScript, etc.) who want to be able to solve more complex problems through objected-oriented design with Java. In addition to learning Java, you will gain experience with two Java development environments (BlueJ and Eclipse), learn how to program with graphical user interfaces, and learn how to design programs capable of managing large amounts of data. These software engineering skills are broadly applicable across wide array of industries.","Java Programming: Arrays, Lists, and Structured Data",https://www.coursera.org/learn/java-programming-arrays-lists-data
7,Object Oriented Programming in Java Specialization,4,"This Specialization is for aspiring software developers with some programming experience in at least one other programming language (e.g., Python, C, JavaScript, etc.) who want to be able to solve more complex problems through objected-oriented design with Java. In addition to learning Java, you will gain experience with two Java development environments (BlueJ and Eclipse), learn how to program with graphical user interfaces, and learn how to design programs capable of managing large amounts of data. These software engineering skills are broadly applicable across wide array of industries.",Object Oriented Programming in Java,https://www.coursera.org/learn/object-oriented-java
8,Object Oriented Programming in Java Specialization,4,"This Specialization is for aspiring software developers with some programming experience in at least one other programming language (e.g., Python, C, JavaScript, etc.) who want to be able to solve more complex problems through objected-oriented design with Java. In addition to learning Java, you will gain experience with two Java development environments (BlueJ and Eclipse), learn how to program with graphical user interfaces, and learn how to design programs capable of managing large amounts of data. These software engineering skills are broadly applicable across wide array of industries.",Data Structures and Performance,https://www.coursera.org/learn/data-structures-optimizing-performance
9,Object Oriented Java Programming: Data Structures and Beyond Specialization,5,"This Specialization covers intermediate topics in software development. Youâll learn object-oriented programming principles that will allow you to use Java to its full potential, and youâll implement data structures and algorithms for organizing large amounts of data in a way that is both efficient and easy to work with. Youâll also practice critically evaluating your own code, and youâll build technical communication skills that will help you prepare for job interviews and collaborative work as a software engineer. In the final Capstone Project, youâll apply your skills to analyze data collected from a real-world (social) network. Google has contributed real-world projects and the involvement of its engineers as guest lecturers to these courses. A small, select group of top learners who complete the Specialization will be offered practice interviews with Google recruiters. Invitation to a practice interview does not guarantee an actual interview or employment.",Object Oriented Programming in Java,https://www.coursera.org/learn/object-oriented-java?specialization=java-object-oriented
