,Course Names,Course Length,Course Descriptions,Chapter Names,Chapter Links
0,Mathematics for Machine Learning Specialization,3,"For a lot of higher level courses in Machine Learning and Data Science, you find you need to freshen up on the basics in mathematics - stuff you may have studied before in school or university, but which was taught in another context, or not very intuitively, such that you struggle to relate it to how itâs used in Computer Science. This specialization aims to bridge that gap, getting you up to speed in the underlying mathematics, building an intuitive understanding, and relating it to Machine Learning and Data Science.In the first course on Linear Algebra we look at what linear algebra is and how it relates to data. Then we look through what vectors and matrices are and how to work with them.

The second course, Multivariate Calculus, builds on this to look at how to optimize fitting functions to get good fits to data. It starts from introductory calculus and then uses the matrices and vectors from the first course to look at data fitting.

The third course, Dimensionality Reduction with Principal Component Analysis, uses the mathematics from the first two courses to compress high-dimensional data. This course is of intermediate difficulty and will require Python and numpy knowledge.

At the end of this specialization you will have gained the prerequisite mathematical knowledge to continue your journey and take more advanced courses in machine learning.",Mathematics for Machine Learning: Linear Algebra,https://www.coursera.org/learn/linear-algebra-machine-learning
1,Mathematics for Machine Learning Specialization,3,"For a lot of higher level courses in Machine Learning and Data Science, you find you need to freshen up on the basics in mathematics - stuff you may have studied before in school or university, but which was taught in another context, or not very intuitively, such that you struggle to relate it to how itâs used in Computer Science. This specialization aims to bridge that gap, getting you up to speed in the underlying mathematics, building an intuitive understanding, and relating it to Machine Learning and Data Science.In the first course on Linear Algebra we look at what linear algebra is and how it relates to data. Then we look through what vectors and matrices are and how to work with them.

The second course, Multivariate Calculus, builds on this to look at how to optimize fitting functions to get good fits to data. It starts from introductory calculus and then uses the matrices and vectors from the first course to look at data fitting.

The third course, Dimensionality Reduction with Principal Component Analysis, uses the mathematics from the first two courses to compress high-dimensional data. This course is of intermediate difficulty and will require Python and numpy knowledge.

At the end of this specialization you will have gained the prerequisite mathematical knowledge to continue your journey and take more advanced courses in machine learning.",Mathematics for Machine Learning: Multivariate Calculus,https://www.coursera.org/learn/multivariate-calculus-machine-learning
2,Mathematics for Machine Learning Specialization,3,"For a lot of higher level courses in Machine Learning and Data Science, you find you need to freshen up on the basics in mathematics - stuff you may have studied before in school or university, but which was taught in another context, or not very intuitively, such that you struggle to relate it to how itâs used in Computer Science. This specialization aims to bridge that gap, getting you up to speed in the underlying mathematics, building an intuitive understanding, and relating it to Machine Learning and Data Science.In the first course on Linear Algebra we look at what linear algebra is and how it relates to data. Then we look through what vectors and matrices are and how to work with them.

The second course, Multivariate Calculus, builds on this to look at how to optimize fitting functions to get good fits to data. It starts from introductory calculus and then uses the matrices and vectors from the first course to look at data fitting.

The third course, Dimensionality Reduction with Principal Component Analysis, uses the mathematics from the first two courses to compress high-dimensional data. This course is of intermediate difficulty and will require Python and numpy knowledge.

At the end of this specialization you will have gained the prerequisite mathematical knowledge to continue your journey and take more advanced courses in machine learning.",Mathematics for Machine Learning: PCA,https://www.coursera.org/learn/pca-machine-learning
3,Mathematics for Data Science Specialization,4,"Behind numerous standard models and constructions in Data Science there is mathematics that makes things work. It is important to understand it to be successful in Data Science. In this specialisation we will cover wide range of mathematical tools and see how they arise in Data Science. We will cover such crucial fields as Discrete Mathematics, Calculus, Linear Algebra and Probability. To make your experience more practical we accompany mathematics with examples and problems arising in Data Science and show how to solve them in Python.",Discrete Math and Analyzing Social Graphs,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs
4,Mathematics for Data Science Specialization,4,"Behind numerous standard models and constructions in Data Science there is mathematics that makes things work. It is important to understand it to be successful in Data Science. In this specialisation we will cover wide range of mathematical tools and see how they arise in Data Science. We will cover such crucial fields as Discrete Mathematics, Calculus, Linear Algebra and Probability. To make your experience more practical we accompany mathematics with examples and problems arising in Data Science and show how to solve them in Python.",Calculus and Optimization for Machine Learning,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning
5,Mathematics for Data Science Specialization,4,"Behind numerous standard models and constructions in Data Science there is mathematics that makes things work. It is important to understand it to be successful in Data Science. In this specialisation we will cover wide range of mathematical tools and see how they arise in Data Science. We will cover such crucial fields as Discrete Mathematics, Calculus, Linear Algebra and Probability. To make your experience more practical we accompany mathematics with examples and problems arising in Data Science and show how to solve them in Python.",First Steps in Linear Algebra for Machine Learning,https://www.coursera.org/learn/first-steps-in-linear-algebra-for-machine-learning
6,Mathematics for Data Science Specialization,4,"Behind numerous standard models and constructions in Data Science there is mathematics that makes things work. It is important to understand it to be successful in Data Science. In this specialisation we will cover wide range of mathematical tools and see how they arise in Data Science. We will cover such crucial fields as Discrete Mathematics, Calculus, Linear Algebra and Probability. To make your experience more practical we accompany mathematics with examples and problems arising in Data Science and show how to solve them in Python.","Probability Theory, Statistics and Exploratory Data Analysis",https://www.coursera.org/learn/probability-theory-statistics
7,Data Science Specialization,4,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",The Data Scientist’s Toolbox,https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science
8,Data Science Specialization,4,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",R Programming,https://www.coursera.org/learn/r-programming?specialization=jhu-data-science
9,Data Science Specialization,4,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Getting and Cleaning Data,https://www.coursera.org/learn/data-cleaning?specialization=jhu-data-science
10,Data Science Specialization,4,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Exploratory Data Analysis,https://www.coursera.org/learn/exploratory-data-analysis?specialization=jhu-data-science
11,"Modern Robotics:  Mechanics, Planning, and Control Specialization",4,"This Specialization provides a rigorous treatment of spatial motion and the dynamics of rigid bodies, employing representations from modern screw theory and the product of exponentials formula. Students with a freshman-level engineering background will quickly learn to apply these tools to analysis, planning, and control of robot motion. Students' understanding of the mathematics of robotics will be solidified by writing robotics software. Students will test their software on a free state-of-the-art cross-platform robot simulator, allowing each student to have an authentic robot programming experience with industrial robot manipulators and mobile robots without purchasing expensive robot hardware. It is highly recommended that Courses 1-6 of the Specialization are taken in order, since the material builds on itself.","Modern Robotics, Course 1:  Foundations of Robot Motion",https://www.coursera.org/learn/modernrobotics-course1?specialization=modernrobotics
12,"Modern Robotics:  Mechanics, Planning, and Control Specialization",4,"This Specialization provides a rigorous treatment of spatial motion and the dynamics of rigid bodies, employing representations from modern screw theory and the product of exponentials formula. Students with a freshman-level engineering background will quickly learn to apply these tools to analysis, planning, and control of robot motion. Students' understanding of the mathematics of robotics will be solidified by writing robotics software. Students will test their software on a free state-of-the-art cross-platform robot simulator, allowing each student to have an authentic robot programming experience with industrial robot manipulators and mobile robots without purchasing expensive robot hardware. It is highly recommended that Courses 1-6 of the Specialization are taken in order, since the material builds on itself.","Modern Robotics, Course 2:  Robot Kinematics",https://www.coursera.org/learn/modernrobotics-course2?specialization=modernrobotics
13,"Modern Robotics:  Mechanics, Planning, and Control Specialization",4,"This Specialization provides a rigorous treatment of spatial motion and the dynamics of rigid bodies, employing representations from modern screw theory and the product of exponentials formula. Students with a freshman-level engineering background will quickly learn to apply these tools to analysis, planning, and control of robot motion. Students' understanding of the mathematics of robotics will be solidified by writing robotics software. Students will test their software on a free state-of-the-art cross-platform robot simulator, allowing each student to have an authentic robot programming experience with industrial robot manipulators and mobile robots without purchasing expensive robot hardware. It is highly recommended that Courses 1-6 of the Specialization are taken in order, since the material builds on itself.","Modern Robotics, Course 3:  Robot Dynamics",https://www.coursera.org/learn/modernrobotics-course3?specialization=modernrobotics
