,Course Names,Course Length,Course Descriptions,Chapter Names,Chapter Links
0,Statistics with R Specialization,5,"In this Specialization, you will learn to analyze and visualize data in R and create reproducible data analysis reports, demonstrate a conceptual understanding of the unified nature of statistical inference, perform frequentist and Bayesian statistical inference and modeling to understand natural phenomena and make data-based decisions, communicate statistical results correctly, effectively, and in context without relying on statistical jargon, critique data-based claims and evaluated data-based decisions, and wrangle and visualize data with R packages for data analysis.You will produce a portfolio of data analysis projects from the Specialization that demonstrates mastery of statistical data analysis from exploratory analysis to inference to modeling, suitable for applying for statistical analysis or data scientist positions.",Introduction to Probability and Data,https://www.coursera.org/learn/probability-intro?specialization=statistics
1,Statistics with R Specialization,5,"In this Specialization, you will learn to analyze and visualize data in R and create reproducible data analysis reports, demonstrate a conceptual understanding of the unified nature of statistical inference, perform frequentist and Bayesian statistical inference and modeling to understand natural phenomena and make data-based decisions, communicate statistical results correctly, effectively, and in context without relying on statistical jargon, critique data-based claims and evaluated data-based decisions, and wrangle and visualize data with R packages for data analysis.You will produce a portfolio of data analysis projects from the Specialization that demonstrates mastery of statistical data analysis from exploratory analysis to inference to modeling, suitable for applying for statistical analysis or data scientist positions.",Inferential Statistics,https://www.coursera.org/learn/inferential-statistics-intro?specialization=statistics
2,Statistics with R Specialization,5,"In this Specialization, you will learn to analyze and visualize data in R and create reproducible data analysis reports, demonstrate a conceptual understanding of the unified nature of statistical inference, perform frequentist and Bayesian statistical inference and modeling to understand natural phenomena and make data-based decisions, communicate statistical results correctly, effectively, and in context without relying on statistical jargon, critique data-based claims and evaluated data-based decisions, and wrangle and visualize data with R packages for data analysis.You will produce a portfolio of data analysis projects from the Specialization that demonstrates mastery of statistical data analysis from exploratory analysis to inference to modeling, suitable for applying for statistical analysis or data scientist positions.",Linear Regression and Modeling ,https://www.coursera.org/learn/linear-regression-model?specialization=statistics
3,Statistics with R Specialization,5,"In this Specialization, you will learn to analyze and visualize data in R and create reproducible data analysis reports, demonstrate a conceptual understanding of the unified nature of statistical inference, perform frequentist and Bayesian statistical inference and modeling to understand natural phenomena and make data-based decisions, communicate statistical results correctly, effectively, and in context without relying on statistical jargon, critique data-based claims and evaluated data-based decisions, and wrangle and visualize data with R packages for data analysis.You will produce a portfolio of data analysis projects from the Specialization that demonstrates mastery of statistical data analysis from exploratory analysis to inference to modeling, suitable for applying for statistical analysis or data scientist positions.",Bayesian Statistics,https://www.coursera.org/learn/bayesian?specialization=statistics
4,Statistics with R Specialization,5,"In this Specialization, you will learn to analyze and visualize data in R and create reproducible data analysis reports, demonstrate a conceptual understanding of the unified nature of statistical inference, perform frequentist and Bayesian statistical inference and modeling to understand natural phenomena and make data-based decisions, communicate statistical results correctly, effectively, and in context without relying on statistical jargon, critique data-based claims and evaluated data-based decisions, and wrangle and visualize data with R packages for data analysis.You will produce a portfolio of data analysis projects from the Specialization that demonstrates mastery of statistical data analysis from exploratory analysis to inference to modeling, suitable for applying for statistical analysis or data scientist positions.",Statistics with R Capstone,https://www.coursera.org/learn/statistics-project
5,Statistics with Python Specialization,3,"This specialization is designed to teach learners beginning and intermediate concepts of statistical analysis using the Python programming language. Learners will learn where data come from, what types of data can be collected, study data design, data management, and how to effectively carry out data exploration and visualization. They will be able to utilize data for estimation and assessing theories, construct confidence intervals, interpret inferential results, and apply more advanced statistical modeling procedures. Finally, they will learn the importance of and be able to connect research questions to the statistical and data analysis methods taught to them.",Understanding and Visualizing Data with Python,https://www.coursera.org/learn/understanding-visualization-data
6,Statistics with Python Specialization,3,"This specialization is designed to teach learners beginning and intermediate concepts of statistical analysis using the Python programming language. Learners will learn where data come from, what types of data can be collected, study data design, data management, and how to effectively carry out data exploration and visualization. They will be able to utilize data for estimation and assessing theories, construct confidence intervals, interpret inferential results, and apply more advanced statistical modeling procedures. Finally, they will learn the importance of and be able to connect research questions to the statistical and data analysis methods taught to them.",Inferential Statistical Analysis with Python,https://www.coursera.org/learn/inferential-statistical-analysis-python
7,Statistics with Python Specialization,3,"This specialization is designed to teach learners beginning and intermediate concepts of statistical analysis using the Python programming language. Learners will learn where data come from, what types of data can be collected, study data design, data management, and how to effectively carry out data exploration and visualization. They will be able to utilize data for estimation and assessing theories, construct confidence intervals, interpret inferential results, and apply more advanced statistical modeling procedures. Finally, they will learn the importance of and be able to connect research questions to the statistical and data analysis methods taught to them.",Fitting Statistical Models to Data with Python,https://www.coursera.org/learn/fitting-statistical-models-data-python
8,Methods and Statistics in Social Sciences Specialization,5,"Identify interesting questions, analyze data sets, and correctly interpret results to make solid, evidence-based decisions.This Specialization covers research methods, design and statistical analysis for social science research questions. In the final Capstone Project, youâll apply the skills you learned by developing your own research question, gathering data, and analyzing and reporting on the results using statistical methods.",Quantitative Methods,https://www.coursera.org/learn/quantitative-methods?specialization=social-science
9,Methods and Statistics in Social Sciences Specialization,5,"Identify interesting questions, analyze data sets, and correctly interpret results to make solid, evidence-based decisions.This Specialization covers research methods, design and statistical analysis for social science research questions. In the final Capstone Project, youâll apply the skills you learned by developing your own research question, gathering data, and analyzing and reporting on the results using statistical methods.",Qualitative Research Methods,https://www.coursera.org/learn/qualitative-methods?specialization=social-science
