,Section Names,Section Length,Chapter Links,Section Descriptions
0,Welcome ,6,https://www.coursera.org/learn/big-data-introduction?specialization=big-data,"Data -- it's been around (even digitally) for a while.  What makes data ""big"" and where does this big data come from?"
1,Big Data: Why and Where,6,https://www.coursera.org/learn/big-data-introduction?specialization=big-data,"You may have heard of the ""Big Vs"".  We'll give examples and descriptions of the commonly discussed 5.  But, we want to propose a 6th V and we'll ask you to practice writing Big Data questions targeting this V -- value."
2,Characteristics of Big Data and Dimensions of Scalability,6,https://www.coursera.org/learn/big-data-introduction?specialization=big-data,"We love science and we love computing, don't get us wrong.  But the reality is we care about Big Data because it can bring value to our companies, our lives, and the world.  In this module we'll introduce a 5 step process for approaching data science problems."
3,Data Science: Getting Value out of Big Data,6,https://www.coursera.org/learn/big-data-introduction?specialization=big-data,"Big Data requires new programming frameworks and systems.  For this course, we don't  programming knowledge or experience -- but we do want to give you a grounding in some of the key concepts."
4,Foundations for Big Data Systems and Programming,6,https://www.coursera.org/learn/big-data-introduction?specialization=big-data,"Let's look at some details of Hadoop and MapReduce.  Then we'll go ""hands on"" and actually perform a simple MapReduce task in the Cloudera VM.  Pay attention - as we'll guide you in ""learning by doing"" in diagramming a MapReduce task as a Peer Review."
5,Systems: Getting Started with Hadoop,6,https://www.coursera.org/learn/big-data-introduction?specialization=big-data,"UC San Diego is an academic powerhouse and economic engine, recognized as one of the top 10 public universities by U.S. News and World Report. Innovation is central to who we are and what we do. Here, students learn that knowledge isn't just acquired in the classroom—life is their laboratory."
6,Introduction to Big Data Modeling and Management,6,https://www.coursera.org/learn/big-data-management?specialization=big-data,"Modeling big data depends on many factors including data structure, which operations may be performed on the data, and what constraints are placed on the models. In these lessons you will learn the details about big data modeling and you will gain the practical skills you will need for modeling your own big data projects."
7,Big Data Modeling,6,https://www.coursera.org/learn/big-data-management?specialization=big-data,"These lessons continue to shed light on big data modeling with specific approaches including vector space models, graph data models, and more. "
8,Big Data Modeling (Part 2),6,https://www.coursera.org/learn/big-data-management?specialization=big-data,"Data models deal with many different types of data formats. Streaming data is becoming ubiquitous, and working with streaming data requires a different approach from working with static data. In these lessons you will gain practical hands-on experience working with different forms of streaming data including weather data and twitter feeds. "
9,Working With Data Models,6,https://www.coursera.org/learn/big-data-management?specialization=big-data,Managing big data requires a different approach to database management systems because of the wide variation in data structure which does not lend itself to traditional DBMSs. There are many applications available to help with big data management. In these lessons we introduce you to some of these applications and provide insight into how and when they might be appropriate for your own big data management challenges. 
10,"Big Data Management: The ""M"" in DBMS",6,https://www.coursera.org/learn/big-data-management?specialization=big-data,"In these lessons we give you the opportunity to learn about big data modeling and management using a fictitious online game called ""Catch the Pink Flamingo"". "
