,Section Names,Section Length,Chapter Links,Section Descriptions
0,Defining Data Science and What Data Scientists Do,3,https://www.coursera.org/learn/what-is-datascience?specialization=ibm-data-science,"In this module, you will hear from Norman White, the Faculty Director of the Stern Centre for Research Computing at New York University, as he talks about data science and the skills required for anyone interested in pursuing a career in this field. He also advises those looking to start a career in data science. Finally, you will complete reading assignments to learn about the process of mining a given dataset and about regression analysis."
1,Data Science Topics,3,https://www.coursera.org/learn/what-is-datascience?specialization=ibm-data-science,"In this module, you will learn about the approaches companies can take to start working with data science. You will learn about some of the qualities that differentiate data scientists from other professionals. You will also learn about analytics, story-telling, and the pivotal role data scientists play in creating an effective final deliverable. Finally, you will apply what you learned about data science by answering open-ended questions."
2,Data Science in Business,3,https://www.coursera.org/learn/what-is-datascience?specialization=ibm-data-science,"IBM offers a wide range of technology and consulting services; a broad portfolio of middleware for collaboration, predictive analytics, software development and systems management; and the world's most advanced servers and supercomputers. Utilizing its business consulting, technology and R&D expertise, IBM helps clients become ""smarter"" as the planet becomes more digitally interconnected. IBM invests more than $6 billion a year in R&D, just completing its 21st year of patent leadership. IBM Research has received recognition beyond any commercial technology research organization and is home to 5 Nobel Laureates, 9 US National Medals of Technology, 5 US National Medals of Science, 6 Turing Awards, and 10 Inductees in US Inventors Hall of Fame."
3,Introducing Skills Network Labs,6,https://www.coursera.org/learn/open-source-tools-for-data-science?specialization=ibm-data-science,"This week, you will learn about a popular data science tool, Jupyter Notebooks, its features, and why they are so popular among data scientists today."
4,Jupyter Notebooks,6,https://www.coursera.org/learn/open-source-tools-for-data-science?specialization=ibm-data-science,"This week, you will learn about Apache Zeppelin Notebooks, its feature, and how they are different from Jupyter Notebooks."
5,Apache Zeppelin Notebooks,6,https://www.coursera.org/learn/open-source-tools-for-data-science?specialization=ibm-data-science,"This week, you will learn about a popular data science tool used by R programmers. You'll learn about the user interface and how to use its various features."
6,RStudio IDE,6,https://www.coursera.org/learn/open-source-tools-for-data-science?specialization=ibm-data-science,"This week, you will learn about an enterprise-ready data science platform by IBM, called Watson Studio (formerley known as Data Science Experience). You'll learn about some of the features and capabilities of what data scientists use in the industry."
7,IBM Watson Studio,6,https://www.coursera.org/learn/open-source-tools-for-data-science?specialization=ibm-data-science,
8,Project: Create and share a Jupyter Notebook,6,https://www.coursera.org/learn/open-source-tools-for-data-science?specialization=ibm-data-science,"IBM offers a wide range of technology and consulting services; a broad portfolio of middleware for collaboration, predictive analytics, software development and systems management; and the world's most advanced servers and supercomputers. Utilizing its business consulting, technology and R&D expertise, IBM helps clients become ""smarter"" as the planet becomes more digitally interconnected. IBM invests more than $6 billion a year in R&D, just completing its 21st year of patent leadership. IBM Research has received recognition beyond any commercial technology research organization and is home to 5 Nobel Laureates, 9 US National Medals of Technology, 5 US National Medals of Science, 6 Turing Awards, and 10 Inductees in US Inventors Hall of Fame."
9,From Problem to Approach and From Requirements to Collection,3,https://www.coursera.org/learn/data-science-methodology?specialization=ibm-data-science,"In this module, you will learn what it means to understand data, and prepare or clean data. You will also learn about the purpose of data modeling and some characteristics of the modeling process. Finally, through a lab session, you will learn how to complete the Data Understanding and the Data Preparation stages, as well as the Modeling and the Model Evaluation stages pertaining to any data science problem."
10,From Understanding to Preparation and From Modeling to Evaluation,3,https://www.coursera.org/learn/data-science-methodology?specialization=ibm-data-science,"In this module, you will learn about what happens when a model is deployed and why model feedback is important. Also, by completing a peer-reviewed assignment, you will demonstrate your understanding of the data science methodology by applying it to a problem that you define."
11,From Deployment to Feedback,3,https://www.coursera.org/learn/data-science-methodology?specialization=ibm-data-science,"IBM offers a wide range of technology and consulting services; a broad portfolio of middleware for collaboration, predictive analytics, software development and systems management; and the world's most advanced servers and supercomputers. Utilizing its business consulting, technology and R&D expertise, IBM helps clients become ""smarter"" as the planet becomes more digitally interconnected. IBM invests more than $6 billion a year in R&D, just completing its 21st year of patent leadership. IBM Research has received recognition beyond any commercial technology research organization and is home to 5 Nobel Laureates, 9 US National Medals of Technology, 5 US National Medals of Science, 6 Turing Awards, and 10 Inductees in US Inventors Hall of Fame."
12,Python Basics ,5,https://www.coursera.org/learn/python-for-applied-data-science-ai?specialization=ibm-data-science,
13,Python Data Structures ,5,https://www.coursera.org/learn/python-for-applied-data-science-ai?specialization=ibm-data-science,
14,Python Programming Fundamentals ,5,https://www.coursera.org/learn/python-for-applied-data-science-ai?specialization=ibm-data-science,
15,Working with Data in Python ,5,https://www.coursera.org/learn/python-for-applied-data-science-ai?specialization=ibm-data-science,
16,Analyzing US Economic Data and Building a Dashboard ,5,https://www.coursera.org/learn/python-for-applied-data-science-ai?specialization=ibm-data-science,"IBM offers a wide range of technology and consulting services; a broad portfolio of middleware for collaboration, predictive analytics, software development and systems management; and the world's most advanced servers and supercomputers. Utilizing its business consulting, technology and R&D expertise, IBM helps clients become ""smarter"" as the planet becomes more digitally interconnected. IBM invests more than $6 billion a year in R&D, just completing its 21st year of patent leadership. IBM Research has received recognition beyond any commercial technology research organization and is home to 5 Nobel Laureates, 9 US National Medals of Technology, 5 US National Medals of Science, 6 Turing Awards, and 10 Inductees in US Inventors Hall of Fame."
17,Data Science Fundamentals,4,https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science,"In this module, we'll help you get up and running with both R and RStudio. Along the way, you'll learn some basics about both and why data scientists use them. "
18,R and RStudio,4,https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science,"During this module, you'll learn about version control and why it's so important to data scientists. You'll also learn how to use Git and GitHub to manage version control in data science projects."
