,Section Names,Section Length,Chapter Links,Section Descriptions
0,Welcome,5,https://www.coursera.org/learn/duke-programming-web?specialization=java-programming,"In this module, you will learn the basics of HTML and CSS to design a web page. Over the course of the module you will build your first web page!"
1,Designing a Web Page with HTML and CSS,5,https://www.coursera.org/learn/duke-programming-web?specialization=java-programming,
2,Algorithms and Programming Concepts,5,https://www.coursera.org/learn/duke-programming-web?specialization=java-programming,
3,JavaScript for Web Pages,5,https://www.coursera.org/learn/duke-programming-web?specialization=java-programming,
4,MiniProject: Image Filters on the Web,5,https://www.coursera.org/learn/duke-programming-web?specialization=java-programming,"Duke University has about 13,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world."
5,Introduction to the Course,5,https://www.coursera.org/learn/java-programming?specialization=java-programming,"In this module, you will learn to write and run your first Java programs, including one program that prints “Hello!” in various countries’ languages and another where you will analyze the perimeters and other information of shapes. To accomplish these tasks, you will learn the basics of Java syntax and how to design stepwise solutions with programs. By the end of this module, you will be able to: (1) Download and run BlueJ, the Java programming environment for this course; (2) Access the documentation for the Java libraries specially designed for this course; (3) Edit, compile, and run a Java program; (4) Construct methods, variables, if else statements, and for each loops in Java; and (5) Use Iterables (like DirectoryResource) to run a program that iterates over multiples lines in a document or webpage or multiple files in a directory."
6,Fundamental Java Syntax and Semantics,5,https://www.coursera.org/learn/java-programming?specialization=java-programming,"This module begins with a short presentation from Raluca Gordân, an assistant professor in Duke University’s Center for Genomic and Computational Biology, about an important problem genomics scientists encounter regularly: how to identify genes in a strand of DNA. To tackle this problem, you will need to understand strings: series of characters such as letters, digits, punctuation, etc. After learning about Java methods that work with strings, you will be able to find genes within a DNA string as well as tackle other string related problems, such as finding all of the links in a web page. By the end of this module, you will be able to: (1) Use important methods for the Java String class; (2) Use conditionals, for loops, and while loops appropriately in a Java program; (3) Find patterns in the data represented by strings to help develop the algorithm for your program; (4) Understand the importance of designing programs that keep different data processing steps separate; (5) Use the StorageResource iterable for this course to store some data for further processing; and (6) Rely on Java documentation to better understand how to use different Java packages and classes."
7,Strings in Java,5,https://www.coursera.org/learn/java-programming?specialization=java-programming,"A common format for storing tabular data (any data organized into columns and rows) is in comma separated values (CSV) files. In this module, you will learn how to analyze and manipulate data from multiple CSV data files using a powerful open-source software package: Apache Commons CSV. Using this library will empower you to solve problems that could prove too complex to solve with a spreadsheet. By the end of this module, you will be able to: (1) Use the open-source Apache Commons CSV package in your own Java programs; (2) Access data from one or many CSV files using Java; (3) Convert strings into numbers; (4) Understand how to use “null” in Java programs (when you want to represent “nothing”); (5) Devise an algorithm (and implement in Java) to answer questions about CSV data; and (6) Analyze CSV data across multiple CSV files (for example, find maximums, minimums, averages, and other simple statistical results)."
8,CSV Files and Basic Statistics in Java,5,https://www.coursera.org/learn/java-programming?specialization=java-programming,"This module wraps up the course with a mini project that ties together the different practices, skills, and libraries you have gained across the course! Using data on the popularity of different baby names in the United States from the past several decades, you will be able to compare different names’ popularity over time. While the data we have collected for this course is from the United States, we welcome you to share data from other countries in the course discussion forums. Good luck with the mini project!"
9,MiniProject: Baby Names,5,https://www.coursera.org/learn/java-programming?specialization=java-programming,"Duke University has about 13,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world."
