,Section Names,Section Length,Chapter Links,Section Descriptions
0,Introduction to deep learning,4,https://www.coursera.org/learn/neural-networks-deep-learning?specialization=deep-learning,"Be able to explain the major trends driving the rise of deep learning, and understand where and how it is applied today.  "
1,Neural Networks Basics,4,https://www.coursera.org/learn/neural-networks-deep-learning?specialization=deep-learning,Learn to set up a machine learning problem with a neural network mindset. Learn to use vectorization to speed up your models. 
2,Shallow neural networks,4,https://www.coursera.org/learn/neural-networks-deep-learning?specialization=deep-learning,"Learn to build a neural network with one hidden layer, using forward propagation and backpropagation. "
3,Deep Neural Networks,4,https://www.coursera.org/learn/neural-networks-deep-learning?specialization=deep-learning,"Understand the key computations underlying deep learning, use them to build and train deep neural networks, and apply it to computer vision. "
4,Practical aspects of Deep Learning,3,https://www.coursera.org/learn/deep-neural-network?specialization=deep-learning,
5,Optimization algorithms,3,https://www.coursera.org/learn/deep-neural-network?specialization=deep-learning,
6,"Hyperparameter tuning, Batch Normalization and Programming Frameworks",3,https://www.coursera.org/learn/deep-neural-network?specialization=deep-learning,
7,ML Strategy (1),2,https://www.coursera.org/learn/machine-learning-projects?specialization=deep-learning,
8,ML Strategy (2),2,https://www.coursera.org/learn/machine-learning-projects?specialization=deep-learning,
9,Foundations of Convolutional Neural Networks,4,https://www.coursera.org/learn/convolutional-neural-networks?specialization=deep-learning,"Learn to implement the foundational layers of CNNs (pooling, convolutions) and to stack them properly in a deep network to solve multi-class image classification problems."
10,Deep convolutional models: case studies,4,https://www.coursera.org/learn/convolutional-neural-networks?specialization=deep-learning,Learn about the practical tricks and methods used in deep CNNs straight from the research papers. 
11,Object detection,4,https://www.coursera.org/learn/convolutional-neural-networks?specialization=deep-learning,Learn how to apply your knowledge of CNNs to one of the toughest but hottest field of computer vision: Object detection.
12,Special applications: Face recognition & Neural style transfer,4,https://www.coursera.org/learn/convolutional-neural-networks?specialization=deep-learning,"Discover how CNNs can be applied to multiple fields, including art generation and face recognition. Implement your own algorithm to generate art and recognize faces!"
13,Recurrent Neural Networks,3,https://www.coursera.org/learn/nlp-sequence-models,"Learn about recurrent neural networks. This type of model has been proven to perform extremely well on temporal data. It has several variants including LSTMs, GRUs and Bidirectional RNNs, which you are going to learn about in this section."
