,Section Names,Section Length,Chapter Links,Section Descriptions
0,Chapter One - Why we Program?,7,https://www.coursera.org/learn/python?specialization=python,"In this module you will set things up so you can write Python programs.  Not all activities in this module are required for this class so please read the ""Using Python in this Class"" material for details."
1,Installing and Using Python,7,https://www.coursera.org/learn/python?specialization=python,"In the first chapter we try to cover the ""big picture"" of programming so you get a ""table of contents"" of the rest of the book.   Don't worry if not everything makes perfect sense the first time you hear it.   This chapter is quite broad and you would benefit from reading the chapter in the book in addition to watching the lectures to help it all sink in.  You might want to come back and re-watch these lectures after you have funished a few more chapters."
2,Chapter One: Why We Program (continued),7,https://www.coursera.org/learn/python?specialization=python,"In this chapter we cover how a program uses the computer's memory to store, retrieve and calculate information."
3,Chapter Two: Variables and Expressions,7,https://www.coursera.org/learn/python?specialization=python,"In this section we move from sequential code that simply runs one line of code after another to conditional code where some steps are skipped.  It is a very simple concept - but it is how computer software makes ""choices""."
4,Chapter Three: Conditional Code,7,https://www.coursera.org/learn/python?specialization=python,"This is a relatively short chapter.   We will learn about what functions are and how we can use them.   The programs in the first chapters of the book are not large enough to require us to develop functions, but as the book moves into more and more complex programs, functions will be an essential way for us to make sense of our code."
5,Chapter Four: Functions,7,https://www.coursera.org/learn/python?specialization=python,Loops and iteration complete our four basic programming patterns.  Loops are the way we tell Python to do something over and over.   Loops are the way we build programs that stay with a problem until the problem is solved.
6,Chapter Five: Loops and Iteration,7,https://www.coursera.org/learn/python?specialization=python,"The mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future."
7,Chapter Six: Strings,7,https://www.coursera.org/learn/python-data?specialization=python,"In this module you will set things up so you can write Python programs.  We do not require installation of Python for this class.  You can write and test Python programs in the browser using the ""Python Code Playground"" in this lesson.  Please read the ""Using Python in this Class"" material for details."
8,Unit: Installing and Using Python,7,https://www.coursera.org/learn/python-data?specialization=python,"Up to now, we have been working with data that is read from the user or data in constants.   But real programs process much larger amounts of data by reading and writing files on the secondary storage on your computer.   In this chapter we start to write our first programs that read, scan, and process real data.  "
9,Chapter Seven: Files,7,https://www.coursera.org/learn/python-data?specialization=python,"As we want to solve more complex problems in Python, we need more powerful variables.  Up to now we have been using simple variables to store numbers or strings where we have a single value in a variable.  Starting with lists we will store many values in a single variable using an indexing scheme to store, organize, and retrieve different values from within a single variable.  We call these multi-valued variables ""collections"" or ""data structures""."
10,Chapter Eight: Lists,7,https://www.coursera.org/learn/python-data?specialization=python,"The Python dictionary is one of its most powerful data structures.  Instead of representing values in a linear list, dictionaries store data as key / value pairs.  Using key / value pairs gives us a simple in-memory ""database"" in a single Python variable."
11,Chapter Nine: Dictionaries,7,https://www.coursera.org/learn/python-data?specialization=python,Tuples are our third and final basic Python data structure.  Tuples are a simple version of lists.  We often use tuples in conjunction with dictionaries to accomplish multi-step tasks like sorting or looping through all of the data in a dictionary.
12,Chapter Ten: Tuples,7,https://www.coursera.org/learn/python-data?specialization=python,"To celebrate your making it to the halfway point in our Python for Everybody Specialization, we welcome you to attend our online graduation ceremony.  It is not very long, and it features a Commencement speaker and very short commencement speech."
13,Graduation,7,https://www.coursera.org/learn/python-data?specialization=python,"The mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future."
14,Getting Started,6,https://www.coursera.org/learn/python-network-data?specialization=python,"Regular expressions are a very specialized language that allow us to succinctly search strings and extract data from strings.   Regular expressions are a language unto themselves.  It is not essential to know how to use regular expressions, but they can be quite useful and powerful."
15,Regular Expressions (Chapter 11),6,https://www.coursera.org/learn/python-network-data?specialization=python,In this section we learn about the protocols that web browsers use to retrieve documents and web applications use to interact with Application Program Interfaces (APIs).
16,Networks and Sockets (Chapter 12),6,https://www.coursera.org/learn/python-network-data?specialization=python,In this section we learn to use Python to retrieve data from web sites and APIs over the Internet.
17,Programs that Surf the Web (Chapter 12),6,https://www.coursera.org/learn/python-network-data?specialization=python,"In this section, we learn how to retrieve and parse XML (eXtensible Markup Language) data."
18,Web Services and XML (Chapter 13),6,https://www.coursera.org/learn/python-network-data?specialization=python,"In this module, we work with Application Program Interfaces / Web Services using the JavaScript Object Notation (JSON) data format."
19,JSON and the REST Architecture (Chapter 13),6,https://www.coursera.org/learn/python-network-data?specialization=python,"The mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future."
20,Object Oriented Python,5,https://www.coursera.org/learn/python-databases?specialization=python,"We learn the four core CRUD operations (Create, Read, Update, and Delete) to manage data stored in a database."
21,Basic Structured Query Language,5,https://www.coursera.org/learn/python-databases?specialization=python,"In this section we learn about how data is stored across multiple tables in a database and how rows are linked (i.e., we establish relationships) in the database."
22,Data Models and Relational SQL,5,https://www.coursera.org/learn/python-databases?specialization=python,In this section we explore how to model situations like students enrolling in courses where each course has many students and each student is enrolled in many courses.
23,Many-to-Many Relationships in SQL,5,https://www.coursera.org/learn/python-databases?specialization=python,"In this section, we put it all together, retrieve and process some data and then use the Google Maps API to visualize our data."
24,Databases and Visualization,5,https://www.coursera.org/learn/python-databases?specialization=python,"The mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future."
25,Welcome to the Capstone,7,https://www.coursera.org/learn/python-data-visualization,"This week we will download and run a simple version of the Google PageRank Algorithm and practice spidering some content. The assignment is peer-graded, and the first of three optional Honors assignments in the course. This a continuation of the material covered in Course 4 of the specialization, and is based on Chapter 16 of the textbook. "
26,Building a Search Engine,7,https://www.coursera.org/learn/python-data-visualization,"The optional Capstone project is your opportunity to select, process, and visualize the data of your choice, and receive feedback from your peers.  The project is not graded, and can be as simple or complex as you like. This week's assignment is to identify a data source and make a short discussion forum post describing the data source and outlining some possible analysis that could be done with it. You will not be required to use the data source presented here for your actual analysis."
27,Exploring Data Sources (Project),7,https://www.coursera.org/learn/python-data-visualization,"In our second optional Honors assignment, we will retrieve and process email data from the Sakai open source project. Video lectures will walk you through the process of retrieving, cleaning up, and modeling the data."
28,Spidering and Modeling Email Data,7,https://www.coursera.org/learn/python-data-visualization,The task for this week is to make a discussion thread post that reflects the progress you have made to date in retrieving and cleaning up your data source so can perform your analysis.  Feedback from other students is encouraged to help you refine the process.
29,Accessing New Data Sources (Project),7,https://www.coursera.org/learn/python-data-visualization,"In the final optional Honors assignment, we will do two visualizations of the email data you have retrieved and processed: a word cloud to visualize the frequency distribution and a timeline to show how the data is changing over time."
30,Visualizing Email Data,7,https://www.coursera.org/learn/python-data-visualization,"This week you will discuss the analysis of your data to the class. While many of the projects will result in a visualization of the data, any other results of analyzing the data are equally valued, so use whatever form of analysis and display is most appropriate to the data set you have selected."
31,Visualizing new Data Sources (Project),7,https://www.coursera.org/learn/python-data-visualization,"The mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future."
