,Section Names,Section Length,Chapter Links,Section Descriptions
0,Getting Started + Functions & Evaluation,6,https://www.coursera.org/learn/progfun1?specialization=scala,"This week, we'll learn about functions as first-class values, and higher order functions. We'll also learn about Scala's syntax and how it's formally defined. Finally, we'll learn about methods, classes, and data abstraction through the design of a data structure for rational numbers."
1,Higher Order Functions,6,https://www.coursera.org/learn/progfun1?specialization=scala,"This week, we'll cover traits, and we'll learn how to organize classes into hierarchies. We'll cover the hierarchy of standard Scala types, and see how to organize classes and traits into packages. Finally, we'll touch upon the different sorts of polymorphism in Scala."
2,Data and Abstraction,6,https://www.coursera.org/learn/progfun1?specialization=scala,"This week we'll learn about the relationship between functions and objects in Scala; functions *are* objects! We'll zoom in on Scala's type system, covering subtyping and generics, and moving on to more advanced aspects of Scala's type system like variance. Finally, we'll cover Scala's most widely used data structure, Lists, and one of Scala's most powerful tools, pattern matching."
3,Types and Pattern Matching,6,https://www.coursera.org/learn/progfun1?specialization=scala,"This week we dive into Lists, the most commonly-used data structure in Scala."
4,Lists,6,https://www.coursera.org/learn/progfun1?specialization=scala,"After a deep-dive into Lists, this week we'll explore other data structures; vectors, maps, ranges, arrays, and more. We'll dive into Scala's powerful and flexible for-comprehensions for querying data."
5,Collections,6,https://www.coursera.org/learn/progfun1?specialization=scala,
6,For Expressions and Monads,5,https://www.coursera.org/learn/progfun2?specialization=scala,"This week we'll revisit performance issues caused by combinatorial search, and we'll discover an important concept in functional programming that can these issues: laziness. We'll also learn a little bit about proofs on trees; in particular, we'll see how to extend structural induction to trees."
7,Lazy Evaluation,5,https://www.coursera.org/learn/progfun2?specialization=scala,"This week, we’ll learn how to make the compiler write programs for us! We’ll see how the compiler can summon program fragments based on their type and how this mechanism can be used to implement a new form of polymorphism (type classes)."
8,Type-Directed Programming,5,https://www.coursera.org/learn/progfun2?specialization=scala,"This week, we'll learn about state and side-effects. Through a rich example, we'll learn programming patterns for managing state in larger programs. We'll also learn about for-loops and while-loops in Scala."
9,Functions and State,5,https://www.coursera.org/learn/progfun2?specialization=scala,"This week we'll learn a number of important programming patterns via examples, starting with the observer pattern, and then going on to functional reactive programming."
10,Timely Effects,5,https://www.coursera.org/learn/progfun2?specialization=scala,
11,Parallel Programming,4,https://www.coursera.org/learn/parprog1?specialization=scala,"We continue with examples of parallel algorithms by presenting a parallel merge sort. We then explain how operations such as map, reduce, and scan can be computed in parallel. We present associativity as the key condition enabling parallel implementation of reduce and scan."
12,Basic Task Parallel Algorithms,4,https://www.coursera.org/learn/parprog1?specialization=scala,"We show how data parallel operations enable the development of elegant data-parallel code in Scala. We give an overview of the parallel collections hierarchy, including the traits of splitters and combiners that complement iterators and builders from the sequential case."
13,Data-Parallelism,4,https://www.coursera.org/learn/parprog1?specialization=scala,"We give a glimpse of the internals of data structures for parallel computing, which helps us understand what is happening under the hood of parallel collections."
14,Data Structures for Parallel Computing,4,https://www.coursera.org/learn/parprog1?specialization=scala,
15,Getting Started + Spark Basics,4,https://www.coursera.org/learn/scala-spark-big-data?specialization=scala,"This week, we'll look at a special kind of RDD called pair RDDs. With this specialized kind of RDD in hand, we'll cover essential operations on large data sets, such as reductions and joins."
16,Reduction Operations & Distributed Key-Value Pairs,4,https://www.coursera.org/learn/scala-spark-big-data?specialization=scala,"This week we'll look at some of the performance implications of using operations like joins. Is it possible to get the same result without having to pay for the overhead of moving data over the network? We'll answer this question by delving into how we can partition our data to achieve better data locality, in turn optimizing some of our Spark jobs."
