,Section Names,Section Length,Chapter Links,Section Descriptions
0,Getting Started and Selecting & Retrieving Data with SQL,4,https://www.coursera.org/learn/sql-for-data-science,"In this module, you will be able to use several more new clauses and operators including WHERE, BETWEEN, IN, OR, NOT, LIKE, ORDER BY, and GROUP BY. You will be able to use the wildcard function to search for more specific or parts of records, including their advantages and disadvantages, and how best to use them. You will be able to discuss how to use basic math operators, as well as aggregate functions like AVERAGE, COUNT, MAX, MIN, and others to begin analyzing our data."
1,"Filtering, Sorting, and Calculating Data with SQL",4,https://www.coursera.org/learn/sql-for-data-science,"In this module, you will be able to discuss subqueries, including their advantages and disadvantages, and when to use them. You will be able to recall the concept of a key field and discuss how these help us link data together with JOINs. You will be able to identify and define several types of JOINs, including the Cartesian join, an inner join, left and right joins, full outer joins, and a self join. You will be able to use aliases and pre-qualifiers to make your SQL code cleaner and efficient."
2,Subqueries and Joins in SQL,4,https://www.coursera.org/learn/sql-for-data-science,"In this module, you will be able to discuss how to modify strings by concatenating, trimming, changing the case, and using the substring function. You will be able to discuss the date and time strings specifically. You will be able to use case statements and finish this module by discussing data governance and profiling. You will also be able to apply fundamental principles when using SQL for data science. You'll be able to use tips and tricks to apply SQL in a data science context."
3,Modifying and Analyzing Data with SQL,4,https://www.coursera.org/learn/sql-for-data-science,"UC Davis, one of the nation’s top-ranked research universities, is a global leader in agriculture, veterinary medicine, sustainability, environmental and biological sciences, and technology. With four colleges and six professional schools, UC Davis and its students and alumni are known for their academic excellence, meaningful public service and profound international impact."
4,Data of Unknown Quality,4,https://www.coursera.org/learn/data-wrangling-analysis-abtesting,"In this module, you will be able to name the main the categories of data types. You will be able to explain how the unfiltered data can be manipulated into a table where you can conduct data analysis. You will be able to discuss why a data warehouse is separate from a production database, and you will be able to use the tools you learned to create your own trustworthy tables. "
5,Creating Clean Datasets,4,https://www.coursera.org/learn/data-wrangling-analysis-abtesting,"In this module, you will be able to map out your joins and be able to highlight the level of detail needed for different kinds of questions. You will be able to practice answering data questions, which should help you feel ready to get asked a whole slough of questions, vague questions, ambiguous questions, or even poorly worded questions. Finally, you will develop a strategy for answering all those questions using data."
6,SQL Problem Solving,4,https://www.coursera.org/learn/data-wrangling-analysis-abtesting,"In this module, you will be able to use your SQL skills to set up a basic AB testing system. You will be able to apply hypothesis testing to prove or disprove a hypothesis about how user behavior changed. You will be able to test and interpret the results using a metric or metrics that are tied directly to some business metrics. You will be able to test your SQL skills and give you the base experience you need to learn anything more complicated in terms of AB testing in the future."
7,Case Study: AB Testing,4,https://www.coursera.org/learn/data-wrangling-analysis-abtesting,"UC Davis, one of the nation’s top-ranked research universities, is a global leader in agriculture, veterinary medicine, sustainability, environmental and biological sciences, and technology. With four colleges and six professional schools, UC Davis and its students and alumni are known for their academic excellence, meaningful public service and profound international impact."
8,Introduction to Spark,4,https://www.coursera.org/learn/spark-sql,"In this module, you will be able to explain the core concepts of Spark, and increase query performance by caching your data and modifying Spark configurations. You will also be able to use the Spark UI to analyze performance and identify bottlenecks."
9,Spark Core Concepts,4,https://www.coursera.org/learn/spark-sql,"In this module, you will be able to identify and discuss the general demands of data applications. You'll be able to access data in a variety of formats and compare and contrast the tradeoffs between these formats. You will explore and examine semi-structured JSON data, which is common in big data environments, schemas, and parallel data writes. You will be able to create an end-to-end pipeline that reads data, transforms it, and saves the result."
10,Engineering Data Pipelines,4,https://www.coursera.org/learn/spark-sql,"In this module, you will be able to define the basics of machine learning and identify the difference between regression and classification problems. You will build a linear regression model and use it to make predictions using Spark SQL. You will also be able to describe how machine learning fits in with concepts you learned in this course and from the other courses in this series. And lastly, you will be able to explain how a machine learning model is trained."
11,Machine Learning Applications of Spark,4,https://www.coursera.org/learn/spark-sql,"UC Davis, one of the nation’s top-ranked research universities, is a global leader in agriculture, veterinary medicine, sustainability, environmental and biological sciences, and technology. With four colleges and six professional schools, UC Davis and its students and alumni are known for their academic excellence, meaningful public service and profound international impact."
12,Getting Started and Milestone 1: Project Proposal and Data Selection/Preparation,4,https://www.coursera.org/learn/sql-data-science-capstone,"In this milestone, you will start to execute your project proposal. You will start looking at your data and perform initial statistic models to explore your data and determine what you have available to you. "
13,Milestone 2: Descriptive Stats & Understanding Your Data,4,https://www.coursera.org/learn/sql-data-science-capstone,"In this milestone, you will go beyond the descriptive statistics you completed in the last milestone. This milestone is really about diving deeper to analyze your data, beyond descriptive stats. Maybe you need to analyze qualitative data or textual data to get a full picture."
14,Milestone 3: Beyond Descriptive Stats (Dive Deeper/Go Broader),4,https://www.coursera.org/learn/sql-data-science-capstone,"In this milestone, you will present your findings. You will identify your audience and create a presentation tailored to them. You will be able to tell the story of analyses and make recommendations."
15,Milestone 4: Presenting Your Findings (Storytelling),4,https://www.coursera.org/learn/sql-data-science-capstone,"UC Davis, one of the nation’s top-ranked research universities, is a global leader in agriculture, veterinary medicine, sustainability, environmental and biological sciences, and technology. With four colleges and six professional schools, UC Davis and its students and alumni are known for their academic excellence, meaningful public service and profound international impact."
16,Defining Data Science and What Data Scientists Do,3,https://www.coursera.org/learn/what-is-datascience?specialization=ibm-data-science,"In this module, you will hear from Norman White, the Faculty Director of the Stern Centre for Research Computing at New York University, as he talks about data science and the skills required for anyone interested in pursuing a career in this field. He also advises those looking to start a career in data science. Finally, you will complete reading assignments to learn about the process of mining a given dataset and about regression analysis."
17,Data Science Topics,3,https://www.coursera.org/learn/what-is-datascience?specialization=ibm-data-science,"In this module, you will learn about the approaches companies can take to start working with data science. You will learn about some of the qualities that differentiate data scientists from other professionals. You will also learn about analytics, story-telling, and the pivotal role data scientists play in creating an effective final deliverable. Finally, you will apply what you learned about data science by answering open-ended questions."
18,Data Science in Business,3,https://www.coursera.org/learn/what-is-datascience?specialization=ibm-data-science,"IBM offers a wide range of technology and consulting services; a broad portfolio of middleware for collaboration, predictive analytics, software development and systems management; and the world's most advanced servers and supercomputers. Utilizing its business consulting, technology and R&D expertise, IBM helps clients become ""smarter"" as the planet becomes more digitally interconnected. IBM invests more than $6 billion a year in R&D, just completing its 21st year of patent leadership. IBM Research has received recognition beyond any commercial technology research organization and is home to 5 Nobel Laureates, 9 US National Medals of Technology, 5 US National Medals of Science, 6 Turing Awards, and 10 Inductees in US Inventors Hall of Fame."
19,Introducing Skills Network Labs,6,https://www.coursera.org/learn/open-source-tools-for-data-science?specialization=ibm-data-science,"This week, you will learn about a popular data science tool, Jupyter Notebooks, its features, and why they are so popular among data scientists today."
