,index,job_title,company_name,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Stata,Machine Learning,Data Mining/Analytics,NLP,Visualisation,Big Data,AWS Cloud,Probability,Support Vector Machines,Neural Networks,GCP,Jason,xml,Azure,Google Cloud,Mathematics,IBM,Algebra,Statistics,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,Team building,project_management,leadership,consulting
0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DPvDrY7fOi7IBjGen6Dx7RXxfTf3xqH9cPvuoqrlxtCEWGirnFmPeDqLmC0lmmv53RT4c7TfVaEeCaKVRyV_uwnQ0WZWsfo1bn6WZeEBuu9sU3EZXbsctoqXEI3pYPLgSyBty4p-CKJVlNJuqhH5RgZux2kej8PJhwcds91Y54DSSZQ12CDU_3uwMkXmAb2ZwU_fxfct6FNIlK0WOzvoss89xaadbmmx7d0lGzjielG0CxZzSj1nwf2CUf5NCkgW-_dSaed9Fz2-1evEVMPv-zeylCeiKqp7lv1P9YxKzSGDhSVoIi5kFgtmMZowW-CBctiymeXYnOgWL2ijsVQ7mqGFFziXKlAZhY5VosMeVB67pH-qr-ITTnFQFQx2Uw02vn6uXSFi13WMaSIx4PVtnUwMJY4TnlOxtwE_tBZY1_jmhDzWMJoqnHj8j5HnGeAhXnxgYMyuDn1U5j1dw6z7cQlNwoSOYLxwBsHpV4V1EsbsGl98GT_AM_oj38jhetCrHQXCjAn3xcNs8GbvHm4MKh4errc4IddYGFX-WbCegEHHECtk5OFOgM&p=0&fvj=0&vjs=3,Senior Data Scientist,BMO Financial Group,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CyK--AGwHVJM38gjCgoUUzKbXZ0LaePQ99gWayKepyPJa_N_5LED3sKws1LrzYXzr0Ai9qpKfiseC1ZoU5WD8QFYdaAyH7Hx_2EOm7lU5SrXwUUw6I9ZrRGZEu8K-BO-w9kKzX-W7yxLGfVxVIsdW80S5Jg409rP3uDnu_78R-5DWR5DGf2yvglEqnUmaQjcDYpJbRRqP5wYaKBzuFpKZA7IusWA7IqpDzR_1Ufay9wQtApXt4VujI_nXrrPEk6ae9XhbKgP1Ojk4UPuv1y3yWwCWRi_sGur1-GPaM99IRc3HXafYoNQ1Ajj3iVYAIB_bUs2Rp0tN1xK6VDIMnq44TLuWkecRAZhtsOH3B9sUH4rqR-XviQOKySyX5unsihlzB8i-mQInU2lJyTkRN-ctHgW8ibqnIod_ElLlVgfR12tMQ8wABukB6-lP6GQvy59Zmf1vfvts7YLm5YWY03rCVOSXZpcddTlzEve2pZcPg6Er2FNdaOVD7uNp4wpgy3XRPeoIN_2P6RA9svmmT8kOiRa2jCiyZCFrYJI3bthMRGwk0_lPlXMPFDCdrOk4ARpOppznCoaTG1t16293L8LgQ&p=1&fvj=0&vjs=3,Data Engineer,Prodigy Game,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CTyxZxFhY9HpJqEBQOSV58GInkevNw-0klBCJgo6k9Ao9KFfGIgGZy2-F7Kp9C2jNgJPoZL7bHHGnE7AmYT6RUXjTBizfvdO6god6Gn5XxYIPIqTpiopMy-FgKO7JaRGS0W-iw-Tc6lCSnQWhKDk_HFqcanerpFg7814-uKAkvxiaGwvxOt6GoHFsHYwN0BvHIOB6Zv3VreKu79VvLQkxIldFh9mOoFbSm6MyiEAwRThYksJfR7nCTdiuX7JsnIrHSV6RXdNrTCujPZpms4eK65H9kXqLGPktLKiHlAXzLXqK52nzs552m6WIwfeoDRN-RSQayrX8ca7okBigF9HmHbZ2YIO6uhuiPJw9fy7KPzTjBdR1kBIqVy5EBS7HeZylS3ZleZLbspShJVB4AIxAaYDhf4ihaGOdJ6bLEtu_NFRrxiWDCNfeIA7FnvmcdIJsdVdwQ7uoNat3E2ckJqt6k1SdoJWq5I6egPspV6YKMLN39BygJgiKFzZWJCbKWrWU=&p=2&fvj=1&vjs=3,"Business Development, Data Science and Analytics",Blackline Safety,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CW81yLmMX0jZhkp9wi2Zzr1m-t1jAbw6FN9Wv5HozWh14F5jwCNHCXR2SMRH94RkiJl-9VEPLSMrqxQEyU1Gv-26IiIy0HkWM2RmvKZ7rRwiqbiCQS5ANixGX-hpQ2ko1TmyHM0qFWhLCooxFdx63Kb1NiK4omNUwgrHxlLoyEFJE7o7ca4hxdsCh1168Mvet7NRUl3wpXarsSyK6hd2EQdWvNTmMU_qoF8IwyMTWZC4yzG15ettar_QbPVRZLv5egdnhoJsK5IXC0xvDwek-a7D23OzkDCyztjBrQyrp7NldehSXmw9TaHcjJ8sHwDnNad3ycYdz086yXTUz5XBFIYmhECc0xt2hSq3ldliwa_hTpUX_XJmnkA_9zGVG1i9oVhtAUa_d1zDhB4L9u2qlWDTia42YSbZk=&p=3&fvj=0&vjs=3,DATA SCIENTIST,Allstate Canada,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
4,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBVCsc7UuXRJ1FysKhZZlgQ6W_M1Ka8Lehg2Hwk79sPohjQ-h2b1fh001Ob9nC8nQ8FLJz_Kxt9wvnwhqgDmZQfIm7GZ0jpqpEmUR0b6dS4YGrqiB6h_sDRK4yN4VE7SA0MJIz-oT0r7g3O3CZB3nEXK2fefdYQDsbyM6ia4BfT65SMJx5jY72p4Uv4tniZ1iIGpVzBH9vtLAZciqSrljKce7rxQiIt4lXljLiOJxPYsOMn4ZNahzd6yEsdcfLnbRUQqTq5IftJ5wrXvLEGwH2XGwTavjwiO5lQ==&p=4&fvj=1&vjs=3,Big Data Instructor,"Cestar College of Business, Health & Technology",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CDcu8ogXRoN9QHj5cFxdvYgI3vgl5QADb-mUQIfZmECfZyGJmSVfJ_x7olgg9Kxhjgvq4gsEHjcz3vQnIGORuPdq4WxW1H4FQqGsrPGreQx9fsDYP90n9Ra0soHOAju5OV3BAA5AKj6nSG03ySlB0Sa04OxNfqJYVCP_C3TPB0tgY-kEvzzgNvTjwIjS3ISb9e4Rq-eaZnFgPc4GMfHxJ03Dp6NdUDThEGmAj_hF-VEKgZcrJdNdasLhhPZ8Iipd4Zi-G2EmLrcQyj4gJcyetAdqtZyWCcc0ZZ7A7NZr6z9jHdLjcgD1fXuhFi410qlwdpkEANEnF_TZdK_M5Aan_PC_kvsVxJT15T4w72diZfgWtL4Inxju7n670_U2oKjatGgWIgUFPK9EPpOKGxBeHYEaGzTQlyhOzCq_N7f4LMoJJ6E5zxexv-59ZrSl7sv30u6GKq_GdRnSsIIXOYwCdYKuG57BcjpQM=&p=5&fvj=1&vjs=3,ML Product Owner / Data Analyst,Liquid Analytics,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0
6,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0C4dbGwCd2tiykNOrjKOL7oz3Of1xuKScwn0yYxlDVzCObTHpd8SFN7LvzNnF27G0SilaJK8egGMXOgn3v1IDiAZjPGCD0vdnLx4h_OzZlfh7otnOAu3EQrsX5Sx3a9PC6hE_D-YHiwHtmlfGehQBwxQ_jHvB-SjPFGXg-17jW_QO_0RqHSAyXxVthv-8m-yQN9m3NDaOI_66F918Nd7Vbx3mvE4os_T8Uy0qlIjiQZ5lcyPWGetZxSlZekWM_Ad4ikEwOlNj29epCaf44Pm2xp9GKbCCvnJGXRBxZ78c0yBWYFFGMHEOIQkMkmLkSJWifscK0XEatwUvZ5LPcKEZq90_o82ZYMEkGPY7ggN8Dn_1MmxcqXTFjbRkbj-Nv2pHs5Melzo3hg6U4iLELryTDYy34UrNmvitAqNKw6xjN4d5mh2jnbkoXPqo2F2edFFih27QMD8n0mDPVh_z8jFI9C8R3ZO5ePQxc=&p=6&fvj=1&vjs=3,Business Intelligence Analyst (Power BI),TCU Financial Group,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.indeed.ca/rc/clk?jk=6ed5d6450bd9369d&fccid=d33243ac6c394a10&vjs=3,"Data Scientist, Big Data",The Economical Insurance Group,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
8,https://www.indeed.ca/rc/clk?jk=12b398cd15bdc29a&fccid=986361104086c3ae&vjs=3,Data Analyst,University of Toronto,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
9,https://www.indeed.ca/rc/clk?jk=918ec542a5df2e38&fccid=d7114f1cac8d0711&vjs=3,Data Scientist I,TD Bank,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
